id,status,source,source_url,direction,role,pattern,why_considered,risk
ref-001,candidate,Wildberries,https://www.wildberries.ru/catalog/1486123071/detail.aspx,street-editorial,cover+life,pair then real-life frame,relatable footwear sequence,do not copy visuals or claims
ref-002,candidate,Wildberries,https://www.wildberries.ru/catalog/1516261808/detail.aspx,technical-y2k,cover+detail,one message per frame,clear progressive hierarchy,do not copy typography or claims
ref-003,candidate,Wildberries,https://www.wildberries.ru/catalog/1281023913/detail.aspx,quiet-premium,detail,pure product evidence,full angle coverage,do not reuse photos
ref-004,candidate,Pinterest,https://ru.pinterest.com/pin/774124931829166/,street-editorial,hero,retro-futuristic sneaker emphasis,model-relevant fashion context,visual review required
ref-005,candidate,Pinterest,https://ru.pinterest.com/pin/5911043260574567/,technical-y2k,hero,Air Max campaign query result,bold product framing,visual review required
ref-006,candidate,Pinterest,https://ru.pinterest.com/pin/70437487696107/,technical-y2k,hero,LeBron campaign query result,product-dominant sport composition,visual review required
ref-007,candidate,Pinterest,https://ru.pinterest.com/pin/11259067814758889/,street-editorial,lifestyle,campaign phrase result,environmental storytelling,visual review required
ref-008,candidate,Pinterest,https://ru.pinterest.com/pin/23995810512004395/,technical-y2k,hero,appears in both searches,recurring sneaker campaign reference,visual review required
ref-009,candidate,Pinterest,https://ru.pinterest.com/pin/3237030979181136/,quiet-premium,product,editorial search result,product-photography candidate,visual review required
ref-010,candidate,Pinterest,https://ru.pinterest.com/pin/6685099441582488/,quiet-premium,product,editorial search result,product-photography candidate,visual review required
ref-011,candidate,Pinterest,https://ru.pinterest.com/pin/210472982582554270/,street-editorial,lifestyle,editorial search result,lifestyle candidate,visual review required
ref-012,candidate,Pinterest,https://ru.pinterest.com/pin/422281212363606/,technical-y2k,hero,editorial search result,graphic composition candidate,visual review required
ref-013,candidate,Pinterest,https://ru.pinterest.com/pin/5911043262977390/,technical-y2k,detail,editorial search result,detail framing candidate,visual review required
ref-014,candidate,Pinterest,https://ru.pinterest.com/pin/1055599909470510/,street-editorial,lifestyle,raf simons nostalgia campaign search result,editorial composition candidate,visual review required
ref-015,candidate,Pinterest,https://ru.pinterest.com/pin/3025924746138126/,quiet-premium,product,editorial search result,neutral product treatment candidate,visual review required
ref-016,candidate,Pinterest,https://ru.pinterest.com/pin/853009985691507662/,street-editorial,lifestyle,editorial search result,styling candidate,visual review required
